Pvt Vaccination Centers,Govt Vaccination Centers,Testing,Oxygen Cylinders,Beds,Medicines ,Instagram Pages,Home Remedies
http://health.delhigovt.nic.in/wps/wcm/connect/67ac628041c0e9b4a75ab728c2355f02/136PCVC.pdf?MOD=AJPERES&lmod=-401092455&CACHEID=67ac628041c0e9b4a75ab728c2355f02 (pvt vaccination centers),https://www.cowin.gov.in/home (Govt vaccination centers),https://www.diagnosticcentres.in/home/search/ ,"https://covid19-twitter.in/           यह साइट ऑक्सीजन, अस्पताल के बेड और दवाओं के सभी उपलब्ध स्रोतों के लिए लाइव ट्विटर अपडेट प्रदान करती है। यह भारत के सभी प्रमुख शहरों के लिए इन लाइव स्रोतों को प्रदर्शित करता है और विश्वसनीय ट्वीट्स के माध्यम से अक्सर अपडेट किया जाता है।","https://covid19-twitter.in/           यह साइट ऑक्सीजन, अस्पताल के बेड और दवाओं के सभी उपलब्ध स्रोतों के लिए लाइव ट्विटर अपडेट प्रदान करती है। यह भारत के सभी प्रमुख शहरों के लिए इन लाइव स्रोतों को प्रदर्शित करता है और विश्वसनीय ट्वीट्स के माध्यम से अक्सर अपडेट किया जाता है।","https://covid19-twitter.in/           यह साइट ऑक्सीजन, अस्पताल के बेड और दवाओं के सभी उपलब्ध स्रोतों के लिए लाइव ट्विटर अपडेट प्रदान करती है। यह भारत के सभी प्रमुख शहरों के लिए इन लाइव स्रोतों को प्रदर्शित करता है और विश्वसनीय ट्वीट्स के माध्यम से अक्सर अपडेट किया जाता है।",यह इंस्टाग्राम स्वयंसेवक पृष्ठों की एक सूची है जहां सत्यापित और अद्यतन लीड नियमित रूप से पोस्ट किए जाते हैं। इन पेज पोस्ट को चलाने वाले लोग केवल व्यक्तिगत सत्यापन पर जाते हैं। किसी भी लीड को खोजने के लिए इन पेजों की कहानियों और हालिया पोस्ट को देखें।,"यह उन लेखों की एक सूची है जो दूध के लक्षण दिखाने वाले लोगों के लिए घरेलू उपचार की जानकारी प्रदान करते हैं। इसमें ऑक्सीजन सपोर्ट कब शुरू करना है, सीटी स्कैन करवाना आदि की भी जानकारी होती है।"
,,,https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlviewयह एक google doc है जो कोविद दवा के हेल्पलाइन और सेलर्स को प्रदर्शित करता है। यह पूरे देश में अस्पतालों और अन्य सुविधाओं की हेल्पलाइन प्रदर्शित करता है। ,https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlviewयह एक google doc है जो कोविद दवा के हेल्पलाइन और सेलर्स को प्रदर्शित करता है। यह पूरे देश में अस्पतालों और अन्य सुविधाओं की हेल्पलाइन प्रदर्शित करता है। ,https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlviewयह एक google doc है जो कोविद दवा के हेल्पलाइन और सेलर्स को प्रदर्शित करता है। यह पूरे देश में अस्पतालों और अन्य सुविधाओं की हेल्पलाइन प्रदर्शित करता है। ,https://instagram.com/teens4teens.in?igshid=899oelguq1tp,https://navbharattimes.indiatimes.com/lifestyle/health/doctor-opinion-on-5-common-home-remedies-that-boost-immunity-and-cures-us-from-cold-fever-or-cough/articleshow/82323032.cms
,,,"http://corona.delhi.gov.in/   सरकारी साइट जो नियमित रूप से अस्पताल के बेड की संख्या को अपडेट करती है, प्रत्येक अस्पताल (आईसीयू, वेंटिलेटर के साथ, वेंटिलेटर के बिना) दिल्ली भर के सभी अस्पतालों में उपलब्ध है।","http://corona.delhi.gov.in/   सरकारी साइट जो नियमित रूप से अस्पताल के बेड की संख्या को अपडेट करती है, प्रत्येक अस्पताल (आईसीयू, वेंटिलेटर के साथ, वेंटिलेटर के बिना) दिल्ली भर के सभी अस्पतालों में उपलब्ध है।","http://corona.delhi.gov.in/   सरकारी साइट जो नियमित रूप से अस्पताल के बेड की संख्या को अपडेट करती है, प्रत्येक अस्पताल (आईसीयू, वेंटिलेटर के साथ, वेंटिलेटर के बिना) दिल्ली भर के सभी अस्पतालों में उपलब्ध है।",,https://navbharattimes.indiatimes.com/lifestyle/health/have-mild-covid-symptoms-here-are-effective-home-remedies/articleshow/81629585.cms?story=1
,,,"https://covidresource.glideapp.io/                                                             यह एक ऐप है, जिसे IIT दिल्ली एलुमनाई द्वारा बनाया गया है, जो शहरों में खाली पड़े अस्पताल के बेड की लाइव ट्रैकिंग प्रदान करता है। अतिरिक्त जानकारी भी है जैसे मेगा-लिंक्स ऑक्सीजन की उपलब्धता, प्लाज्मा, प्रसिद्ध डॉक्टरों द्वारा vidoes, आदि पर जानकारी रखते हैं।","https://covidresource.glideapp.io/                                                             यह एक ऐप है, जिसे IIT दिल्ली एलुमनाई द्वारा बनाया गया है, जो शहरों में खाली पड़े अस्पताल के बेड की लाइव ट्रैकिंग प्रदान करता है। अतिरिक्त जानकारी भी है जैसे मेगा-लिंक्स ऑक्सीजन की उपलब्धता, प्लाज्मा, प्रसिद्ध डॉक्टरों द्वारा vidoes, आदि पर जानकारी रखते हैं।","https://covidresource.glideapp.io/                                                             यह एक ऐप है, जिसे IIT दिल्ली एलुमनाई द्वारा बनाया गया है, जो शहरों में खाली पड़े अस्पताल के बेड की लाइव ट्रैकिंग प्रदान करता है। अतिरिक्त जानकारी भी है जैसे मेगा-लिंक्स ऑक्सीजन की उपलब्धता, प्लाज्मा, प्रसिद्ध डॉक्टरों द्वारा vidoes, आदि पर जानकारी रखते हैं।",https://instagram.com/covidaidresources?igshid=1jyb2r0k34jtx,https://www.jagran.com/lifestyle/health-while-in-home-isolation-treat-yourself-with-these-effective-home-remedies-21550911.html
,,,https://coronaresources.in/    एक वेबसाइट जो पूरे देश में प्लाज्मा प्राप्त करने और दान करने के लिए स्थानों को प्रदर्शित करती है और पूरे देश में बेड के विश्वसनीय और अक्सर अद्यतन स्रोतों की एक सूची प्रदान करती है।,https://coronaresources.in/    एक वेबसाइट जो पूरे देश में प्लाज्मा प्राप्त करने और दान करने के लिए स्थानों को प्रदर्शित करती है और पूरे देश में बेड के विश्वसनीय और अक्सर अद्यतन स्रोतों की एक सूची प्रदान करती है।,https://coronaresources.in/    एक वेबसाइट जो पूरे देश में प्लाज्मा प्राप्त करने और दान करने के लिए स्थानों को प्रदर्शित करती है और पूरे देश में बेड के विश्वसनीय और अक्सर अद्यतन स्रोतों की एक सूची प्रदान करती है।,https://instagram.com/cov.id911?igshid=14xp6b0yog8ip,
,,,"https://www.theuncutteam.com/covidresources                      एक इंस्टाग्राम पेज से एक साइट जो पूरे देश में चिकित्सा, ऑक्सीजन, बेड और हेल्पलाइन और डॉक्टरों की संख्या पर अपडेट देती है। एक विशिष्ट पीडीएफ देश भर के प्रत्येक क्षेत्र के लिए बनाया गया है जो आपको यह पता लगाने की अनुमति देता है कि आपको क्या जल्दी चाहिए।","https://www.theuncutteam.com/covidresources                      एक इंस्टाग्राम पेज से एक साइट जो पूरे देश में चिकित्सा, ऑक्सीजन, बेड और हेल्पलाइन और डॉक्टरों की संख्या पर अपडेट देती है। एक विशिष्ट पीडीएफ देश भर के प्रत्येक क्षेत्र के लिए बनाया गया है जो आपको यह पता लगाने की अनुमति देता है कि आपको क्या जल्दी चाहिए।","https://www.theuncutteam.com/covidresources                      एक इंस्टाग्राम पेज से एक साइट जो पूरे देश में चिकित्सा, ऑक्सीजन, बेड और हेल्पलाइन और डॉक्टरों की संख्या पर अपडेट देती है। एक विशिष्ट पीडीएफ देश भर के प्रत्येक क्षेत्र के लिए बनाया गया है जो आपको यह पता लगाने की अनुमति देता है कि आपको क्या जल्दी चाहिए।",https://instagram.com/covid19help2021?igshid=1fkj1rsw3s035,
,,,"covidfacts.in                                    यह IndiaFightsCorona टीम द्वारा बनाई गई वेबसाइट है, आपको बस अपना स्थान और आवश्यक संसाधन दर्ज करना है, और वेबसाइट उसी के लिए अद्यतन सत्यापित लीडों की एक सूची प्रदान करेगी।","covidfacts.in                                    यह IndiaFightsCorona टीम द्वारा बनाई गई वेबसाइट है, आपको बस अपना स्थान और आवश्यक संसाधन दर्ज करना है, और वेबसाइट उसी के लिए अद्यतन सत्यापित लीडों की एक सूची प्रदान करेगी।","covidfacts.in                                    यह IndiaFightsCorona टीम द्वारा बनाई गई वेबसाइट है, आपको बस अपना स्थान और आवश्यक संसाधन दर्ज करना है, और वेबसाइट उसी के लिए अद्यतन सत्यापित लीडों की एक सूची प्रदान करेगी।",,
,,,"covidfightclub.org                           यह कोविद फाइट क्लब की आधिकारिक वेबसाइट है, जो भारत भर में कोविद से लड़ने के लिए संसाधनों का स्रोत है। अपना आवश्यक संसाधन और स्थान दर्ज करें और वेबसाइट उसी के लिए सत्यापित लीड की एक सूची प्रदान करेगी।","covidfightclub.org                           यह कोविद फाइट क्लब की आधिकारिक वेबसाइट है, जो भारत भर में कोविद से लड़ने के लिए संसाधनों का स्रोत है। अपना आवश्यक संसाधन और स्थान दर्ज करें और वेबसाइट उसी के लिए सत्यापित लीड की एक सूची प्रदान करेगी।","covidfightclub.org                           यह कोविद फाइट क्लब की आधिकारिक वेबसाइट है, जो भारत भर में कोविद से लड़ने के लिए संसाधनों का स्रोत है। अपना आवश्यक संसाधन और स्थान दर्ज करें और वेबसाइट उसी के लिए सत्यापित लीड की एक सूची प्रदान करेगी।",,
,,,"https://docs.google.com/spreadsheets/d/1K5uAC90MgrDPtaBVfPnmT_llqjrjG-NR6l6RsdsG97A/htmlview           एक Google डॉक जो पूरे देश में बेड, ऑक्सीजन और दवा की उपलब्धता पर नियमित अपडेट देता है। प्रत्येक क्षेत्र के लिए विशिष्ट लिंक हैं जो आपको आवश्यक चीजों तक त्वरित पहुंच की अनुमति देते हैं।","https://docs.google.com/spreadsheets/d/1K5uAC90MgrDPtaBVfPnmT_llqjrjG-NR6l6RsdsG97A/htmlview           एक Google डॉक जो पूरे देश में बेड, ऑक्सीजन और दवा की उपलब्धता पर नियमित अपडेट देता है। प्रत्येक क्षेत्र के लिए विशिष्ट लिंक हैं जो आपको आवश्यक चीजों तक त्वरित पहुंच की अनुमति देते हैं।","https://docs.google.com/spreadsheets/d/1K5uAC90MgrDPtaBVfPnmT_llqjrjG-NR6l6RsdsG97A/htmlview           एक Google डॉक जो पूरे देश में बेड, ऑक्सीजन और दवा की उपलब्धता पर नियमित अपडेट देता है। प्रत्येक क्षेत्र के लिए विशिष्ट लिंक हैं जो आपको आवश्यक चीजों तक त्वरित पहुंच की अनुमति देते हैं।",,
,,,"https://docs.google.com/spreadsheets/d/18UlLgM3_bJb6UPIYddPvs9uqI_nU7TzPNwVFAQfRSuM/htmlview
एक Google डॉक जो पूरे देश में बेड, ऑक्सीजन और दवा की उपलब्धता पर नियमित अपडेट देता है। आसान खोज के लिए राज्य के अनुसार संसाधनों को क्रमबद्ध किया जाता है।","https://docs.google.com/spreadsheets/d/18UlLgM3_bJb6UPIYddPvs9uqI_nU7TzPNwVFAQfRSuM/htmlview
एक Google डॉक जो पूरे देश में बेड, ऑक्सीजन और दवा की उपलब्धता पर नियमित अपडेट देता है। आसान खोज के लिए राज्य के अनुसार संसाधनों को क्रमबद्ध किया जाता है।","https://docs.google.com/spreadsheets/d/18UlLgM3_bJb6UPIYddPvs9uqI_nU7TzPNwVFAQfRSuM/htmlview
एक Google डॉक जो पूरे देश में बेड, ऑक्सीजन और दवा की उपलब्धता पर नियमित अपडेट देता है। आसान खोज के लिए राज्य के अनुसार संसाधनों को क्रमबद्ध किया जाता है।",,
,,,,"https://covidggn.com/Public/Pages/Gurugram-Hospitals                    ह एक वेबसाइट है, जो जीसी 3, गुरुग्राम कोविद कॉम्बैट कंपैनियन द्वारा संचालित है, जहां गुरुग्राम में बेड की उपलब्धता लगातार अपडेट की जाती है। गुरुग्राम में सक्रिय परीक्षण केंद्रों की एक सूची भी है।","https://readytofightcovid.in/  यह डॉ। रेड्डीज लैब्स द्वारा संचालित एक साइट है, जो हैदराबाद में स्थित एक भारतीय बहुराष्ट्रीय दवा कंपनी है, जहाँ रेमेडिसविर के लिए कोई भी स्रोत लगातार अपडेट किया जाता है।",,
